Date,AAPL,GE,GOOGL,IBM,KO,MSFT,PEP
2011-03-08,47.066503,17.497498,296.45145,144.648214,28.339168,22.54639,55.487723
2011-03-09,46.63124,17.497498,296.181187,147.839247,28.330535,22.528986,56.235795
2011-03-10,45.863909,17.047975,290.440433,144.416468,28.188061,22.1113,56.044427
2011-03-11,46.567739,17.268496,288.64365,144.781911,28.183711,22.346249,56.235795
2011-03-14,46.775447,16.895306,285.280277,143.854914,27.805378,22.354951,55.79217
2011-03-15,45.699859,16.632378,285.065067,141.742419,27.409649,22.093896,54.809238
2011-03-16,43.659819,16.072594,278.82883,136.376491,26.78779,21.571788,54.200346
2011-03-17,44.272359,16.301595,280.960972,137.428277,27.083499,21.563086,54.870131
2011-03-18,43.747135,16.32704,280.810825,138.952491,27.266144,21.580489,55.009307
2011-03-21,44.88887,16.725674,288.538547,140.548001,27.644478,22.041685,55.757375
2011-03-22,45.140239,16.530598,288.948948,140.833239,27.618385,22.015579,55.618199
2011-03-23,44.874319,16.564525,291.371372,142.197003,27.948883,22.224424,55.844358
2011-03-24,45.639004,16.776565,293.738743,142.651586,28.13153,22.459372,55.844358
2011-03-25,46.508205,16.751119,290.16016,144.559074,28.362008,22.294039,55.652994
2011-03-28,46.362677,16.751119,287.96796,143.837083,28.279383,22.1113,55.966137
2011-03-29,46.43147,16.844417,291.156162,145.183029,28.579442,22.180914,55.80957
2011-03-30,46.123217,17.056457,291.211216,145.824802,28.718599,22.285337,56.583736
2011-03-31,46.10734,17.005566,293.673679,145.352388,28.849057,22.093896,56.027033
2011-04-01,45.584762,17.251533,296.196201,146.422005,29.231742,22.172212,56.731609
2011-04-04,45.138915,17.412683,294.134129,146.404174,29.423084,22.233125,56.618524
2011-04-05,44.834628,17.243051,284.829838,146.172428,29.340459,22.433267,57.044755
2011-04-06,44.722174,17.429645,287.377384,146.216985,29.410036,22.755233,57.192628
2011-04-07,44.727466,17.260014,290.290287,146.520054,29.327413,22.798743,57.340501
2011-04-08,44.327926,17.124309,289.369358,146.225907,29.253483,22.685619,57.175234
2011-04-11,43.764332,17.115828,288.973972,146.136766,29.310018,22.607303,57.444886
2011-04-12,43.976011,16.971641,285.59058,145.512824,29.092585,22.311441,57.905905
2011-04-13,44.469483,16.91227,288.42844,146.136766,29.257833,22.302739,57.801521
2011-04-14,43.978657,16.963159,289.544559,147.045947,29.705745,22.120002,58.018983
2011-04-15,43.322456,16.997086,265.615604,148.151225,29.575287,22.076493,58.375625
2011-04-18,43.903247,16.946195,263.683689,147.910557,29.270878,21.82414,58.410419
2011-04-19,44.698359,17.192162,261.026035,147.429221,29.175207,21.885052,58.114667
2011-04-20,45.300319,17.302422,263.128147,146.849849,29.505707,22.415863,58.566993
2011-04-21,46.397072,16.920752,262.812809,149.996312,29.518752,22.20702,58.636582
